ID,target
000137c73,1556195.9397031309
00021489f,1719693.507183332
0004d7953,4879716.5581037225
00056a333,3336947.6454663235
00056d8eb,1060533.0518593064
0005fc190,2496541.9184427797
000787e86,1576256.6205430387
0008510a0,1458219.6932558334
000895faf,3478342.957386211
000986fba,1594541.7950047883
0009efcc5,19836896.141641054
000dd8f00,10898256.472473754
000e1cdc2,1909121.71851301
00103739c,2769751.8098946013
00134b367,1385783.5860431422
001788d0d,1553475.0341541748
0019c8ad7,2154490.7210162543
001a267b9,895814.4772360193
001a85486,1779855.7442104393
001c4de06,2545481.704707735
001f9014b,2981558.954449365
00216fb94,4299843.241494975
00235690e,3730140.220822723
00240739d,10059173.355018105
0024c3747,1938172.2373467674
00297052d,1551945.1087639658
002ab8f85,1551976.1095895313
002bed5c0,2124826.806427387
002bf3974,2474265.4798019337
002d23a26,2981687.6280741757
002f27de9,3228001.273000965
0030d8bb4,2511536.9819872426
003146acd,1658831.2367979498
003223263,1192656.9165054488
00335575e,2441380.2261216054
00337cf9d,1577898.2199065818
003394397,2513797.515226651
0036358a3,4889775.749988431
003770d30,2405003.8461573697
003bed5ea,1002417.7182459133
003ea6427,1788363.1523649744
003ef8132,7789915.256589778
003fd1723,2719802.199075003
0041861b4,2840900.8751671584
0042b718b,3085184.830250988
004381d8f,2991113.8898843764
0043ca764,2476380.0806004014
004486837,549893.5520042905
0045c123e,3988242.084012497
0048915c6,2581859.840517098
004ab9a09,1531749.141956497
004b2e1c9,2955107.61778708
004c54732,1645093.338633754
004cdefce,6076440.328720201
004dd971b,2054722.0027643498
004f9329b,1137885.460136158
004fd2bca,1318504.7901023943
0054bfedb,1612602.628521656
0054ec58a,447803.3029095541
00551f45d,20034798.77673403
005777b4c,1543469.3172707506
00578d6ea,1857912.2684325923
005802488,1950707.0292051288
0059833b6,2634445.5075832405
005a70085,2432469.9480374865
005b148a0,3008059.9810128296
005c28df4,1816234.9443591917
005f8dc26,2866529.9405546286
00603c202,3105036.3713088403
006049609,6220570.477727749
00612f47e,916155.7397450731
00647a57f,6494814.247916337
